"","match","int_corr","race_dif","age_dif","field_cd_dif","undergrd_dif","imprace_dif","imprelig_dif","from_dif","goal_dif","date_dif","go_out_dif","career_c_dif","sports_dif","tvsports_dif","exercise_dif","dining_dif","museums_dif","art_dif","hiking_dif","gaming_dif","clubbing_dif","reading_dif","tv_dif","theater_dif","movies_dif","concerts_dif","music_dif","shopping_dif","yoga_dif","exphappy_dif","attr1_1_dif","sinc1_1_dif","intel1_1_dif","fun1_1_dif","amb1_1_dif","shar1_1_dif","attr2_1_dif","sinc2_1_dif","intel2_1_dif","fun2_1_dif","amb2_1_dif","shar2_1_dif","attr3_1_dif","sinc3_1_dif","intel3_1_dif","fun3_1_dif","amb3_1_dif","id_1","id_2"
"41",0,-0.43,0,6,1,0,1,2,1,1,1,3,1,1,3,5,1,1,3,1,1,4,3,6,2,2,4,1,3,2,0,15,15,5,5,10,10,25,5,10,0,20,0,2,6,2,1,3,5,11
"42",0,0,0,1,0,0,7,0,1,1,3,0,0,2,3,2,1,1,2,3,3,3,0,2,2,1,4,2,3,2,0,40,5,25,15,10,15,25,5,15,0,10,5,3,6,0,3,1,5,12
"43",0,-0.17,1,1,0,0,5,4,1,0,3,0,0,0,4,5,2,1,2,2,1,1,0,0,4,2,6,2,0,2,4,1,13,6,7,4,3,30,6,6,2,11,9,2,4,2,2,5,5,13
"44",1,0.08,0,2,0,0,7,0,1,0,0,0,0,3,2,1,1,3,5,4,2,0,0,1,3,4,3,1,2,2,1,10,0,10,15,5,10,30,5,10,0,0,15,3,6,1,3,1,5,14
"45",0,-0.16,1,3,0,0,5,0,1,1,0,0,0,2,3,2,0,2,5,0,1,1,2,2,3,3,3,0,6,2,2,10,5,5,15,0,5,30,10,10,0,5,5,1,4,1,1,1,5,15
"46",0,0.06,0,4,1,0,1,1,1,1,1,0,1,0,2,1,0,1,1,1,1,3,2,5,1,2,4,1,2,2,0,30,5,5,15,10,5,0,5,20,15,0,0,0,3,2,2,2,5,16
"47",0,-0.05,0,9,1,0,7,0,1,1,1,1,1,1,2,2,0,1,3,2,4,2,2,6,1,3,4,0,6,1,3,15,10,0,15,5,5,25,10,10,0,5,0,1,4,2,0,4,5,17
"48",0,0.07,0,6,1,0,0,7,1,1,2,0,1,2,1,2,2,2,5,2,2,6,0,1,3,3,0,1,6,2,2,13.33,6.11,13.89,13.89,1.11,7.22,40,0,10,5,20,5,0,5,2,0,1,5,18
"49",1,-0.13,0,7,1,0,7,0,1,1,3,0,1,3,6,3,3,1,3,0,1,1,2,7,5,1,4,0,1,7,3,30,5,0,15,10,0,10,5,10,10,5,0,4,3,0,4,2,5,19
"50",0,-0.06,0,3,1,0,7,0,1,1,3,0,1,3,6,3,3,3,1,2,4,2,2,5,2,2,3,1,3,7,1,80,5,25,25,10,15,0,0,0,10,5,5,1,4,0,4,2,5,20
"51",0,0.33,1,4,1,0,6,2,1,0,2,3,1,2,1,7,1,1,2,4,3,2,0,0,1,2,1,4,4,0,3,25,5,0,5,5,10,0,5,10,5,15,15,3,2,1,1,0,6,11
"52",0,0.37,1,1,0,0,0,0,1,0,2,0,0,1,1,0,1,1,1,6,1,1,3,4,1,1,1,5,4,4,3,50,25,20,15,5,15,0,5,15,5,5,20,4,2,1,1,4,6,12
"53",0,-0.51,0,1,0,0,2,4,1,1,4,0,0,3,0,7,2,3,1,5,5,1,3,6,5,2,3,5,7,0,1,9,7,1,7,9,3,5,6,6,7,6,6,1,0,1,0,2,6,13
"54",1,0.12,1,0,0,0,0,0,1,1,1,0,0,0,2,1,1,5,4,1,6,2,3,5,2,4,0,4,5,0,4,20,20,5,15,0,10,5,5,10,5,5,0,4,2,0,1,4,6,14
"55",0,0.35,1,1,0,0,2,0,1,0,1,0,0,1,1,0,0,4,4,3,5,3,1,4,4,3,0,3,1,0,1,20,15,0,15,5,5,5,10,10,5,0,10,2,0,0,1,4,6,15
"56",0,0.19,1,2,1,0,8,1,1,0,2,0,1,3,6,3,0,1,0,4,3,1,1,1,2,2,1,4,5,0,3,40,25,10,15,5,5,25,5,20,20,5,15,1,1,1,0,1,6,16
"57",0,0.47,1,7,1,0,0,0,1,1,0,1,1,2,6,0,0,1,2,5,0,0,5,0,2,3,1,3,1,1,0,25,10,5,15,0,5,0,10,10,5,0,15,2,0,1,2,1,6,17
"58",0,0.03,1,4,1,0,7,7,1,0,3,0,1,5,3,4,2,4,4,5,2,4,3,7,2,3,3,2,1,0,1,23.33,13.89,8.89,13.89,6.11,7.22,15,0,10,0,15,10,1,1,1,2,4,6,18
"59",1,0.46,1,5,1,0,0,0,1,1,2,0,1,0,2,1,3,3,2,3,5,3,1,1,4,1,1,3,6,9,6,40,25,5,15,5,0,15,5,10,15,0,15,5,1,1,2,5,6,19
"60",0,0.43,1,1,1,0,0,0,1,0,2,0,1,0,2,1,3,1,2,5,8,4,1,1,3,2,0,2,4,9,2,90,25,20,25,5,15,25,0,0,15,0,10,2,0,1,2,5,6,20
"61",0,0.19,1,5,1,0,5,1,1,0,0,3,1,3,4,2,4,3,5,3,2,4,1,6,6,2,3,2,5,9,0,20,5,5,0,15,5,5,7,7,5,15,5,2,3,1,2,2,7,11
"62",0,0.21,1,0,0,0,1,3,1,0,4,0,0,4,4,5,2,3,4,1,0,3,2,2,6,3,3,1,5,5,0,45,15,25,20,15,10,5,3,12,5,5,10,3,3,3,4,2,7,12
"63",0,0.52,0,0,0,0,1,1,0,1,2,0,0,2,5,2,1,5,4,2,4,1,2,0,0,2,1,1,2,9,4,4,3,6,2,1,2,10,4,3,7,6,4,2,1,1,3,4,7,13
"64",1,-0.46,1,1,0,0,1,3,1,1,1,0,0,5,3,4,2,7,7,8,5,0,2,1,7,0,4,2,4,9,1,15,10,10,20,10,5,10,3,7,5,5,10,3,3,2,4,2,7,14
"65",0,-0.27,1,2,0,0,1,3,1,0,1,0,0,4,4,5,3,6,7,4,4,1,0,2,1,1,4,3,8,9,2,15,5,5,10,5,10,10,8,7,5,0,0,1,1,2,2,2,7,15
"66",0,0.59,1,3,1,0,7,2,1,0,0,0,1,2,1,2,3,3,3,3,2,3,0,5,3,2,3,2,4,9,0,35,15,5,10,15,0,20,7,17,20,5,5,0,0,1,3,1,7,16
"67",0,0.31,1,8,1,0,1,3,1,1,2,1,1,3,1,5,3,3,5,2,1,2,4,6,3,1,3,3,8,8,3,20,0,0,10,10,0,5,8,7,5,0,5,1,1,1,1,3,7,17
"68",0,0.08,1,5,1,0,6,4,1,0,1,0,1,0,2,1,1,6,7,2,1,6,2,1,7,1,7,4,8,9,2,18.33,3.89,13.89,8.89,3.89,12.22,20,2,7,0,15,0,0,2,1,1,2,7,18
"69",1,-0.34,1,6,1,0,1,3,1,1,4,0,1,5,7,6,0,5,5,4,4,1,0,7,9,3,3,3,3,0,3,35,15,0,10,15,5,10,3,7,15,0,5,4,0,3,5,3,7,19
"70",0,-0.16,1,2,1,0,1,3,1,0,4,0,1,5,7,6,0,1,1,2,7,2,0,5,2,2,4,4,5,0,1,85,15,25,20,15,10,20,2,3,15,0,0,1,1,3,5,3,7,20
"71",0,-0.03,0,2,1,0,6,2,1,0,0,3,1,6,5,1,4,2,4,2,3,6,1,8,5,1,1,2,3,5,1,25.91,1.82,7.27,1.82,18.18,4.09,5,5,0,10,20,0,1,5,0,1,3,8,11
"72",1,-0.11,0,3,1,0,0,0,1,0,4,0,1,7,5,8,2,2,3,0,1,5,2,4,5,2,1,3,3,1,1,50.91,18.18,27.27,21.82,18.18,9.09,5,5,5,10,10,5,2,5,2,1,1,8,12
"73",1,0.42,1,3,1,0,2,4,1,1,2,0,1,5,6,1,1,4,3,1,5,3,2,2,1,1,3,3,0,5,3,9.91,0.18,8.27,0.18,4.18,2.91,10,6,4,12,11,9,3,3,0,0,5,8,13
"74",1,-0.4,0,2,1,0,0,0,1,1,1,0,1,8,4,7,2,6,6,7,6,2,2,3,6,1,0,2,2,5,2,20.91,13.18,12.27,21.82,13.18,4.09,10,5,0,10,0,15,2,5,1,1,1,8,14
"75",1,-0.23,1,1,1,0,2,0,1,0,1,0,1,7,5,8,3,5,6,3,5,1,0,4,0,0,0,1,6,5,1,20.91,8.18,7.27,8.18,8.18,10.91,10,10,0,10,5,5,0,3,1,1,1,8,15
"76",1,0.28,0,0,1,0,8,1,1,0,0,0,1,5,0,5,3,2,2,2,3,5,0,7,2,1,1,2,2,5,1,40.91,18.18,2.73,8.18,18.18,0.91,20,5,10,25,0,0,1,2,0,0,2,8,16
"77",0,0.05,0,5,0,0,0,0,1,1,2,1,1,6,0,8,3,2,4,1,0,4,4,8,2,0,1,1,6,4,2,25.91,3.18,2.27,8.18,13.18,0.91,5,10,0,10,5,0,0,3,0,2,4,8,17
"78",1,0.17,0,2,1,0,7,7,1,0,1,0,1,3,3,4,1,5,6,1,2,8,2,1,6,0,3,0,6,5,1,24.24,7.07,16.16,7.07,7.07,13.13,20,0,0,5,20,5,1,4,0,2,1,8,18
"79",1,-0.47,0,3,1,0,0,0,1,1,4,0,1,8,8,9,0,4,4,3,5,1,0,9,8,2,1,1,1,4,4,40.91,18.18,2.27,8.18,18.18,5.91,10,5,0,20,5,0,3,2,2,2,2,8,19
"80",1,-0.21,0,1,1,0,0,0,1,0,4,0,1,8,8,9,0,0,0,1,8,0,0,7,1,1,0,0,3,4,0,90.91,18.18,27.27,18.18,18.18,9.09,20,0,10,20,5,5,0,3,2,2,2,8,20
"81",0,0.19,1,1,1,0,6,2,1,0,1,3,1,4,4,1,2,1,2,3,3,6,1,6,6,2,2,1,3,2,1,15,10,0,10,10,5,5,15,10,0,15,5,1,3,1,3,2,9,11
"82",1,0.03,1,4,1,0,0,0,1,0,3,0,1,5,4,8,0,1,1,1,1,5,2,2,6,3,2,0,3,2,1,40,10,20,10,10,10,5,5,15,0,5,10,2,3,3,1,2,9,12
"83",1,0.68,1,4,1,0,2,4,1,1,3,0,1,3,5,1,1,1,1,2,5,3,2,0,0,2,0,0,0,2,3,1,8,1,12,4,2,10,4,6,2,6,4,3,1,1,2,4,9,13
"84",1,-0.26,1,3,1,0,0,0,1,1,0,0,1,6,3,7,0,3,4,8,6,2,2,1,7,0,3,1,2,2,2,10,5,5,10,5,5,10,5,10,0,5,10,2,3,2,1,2,9,14
"85",1,-0.01,1,2,1,0,2,0,1,0,0,0,1,5,4,8,1,2,4,4,5,1,0,2,1,1,3,2,6,2,1,10,0,0,20,0,10,10,0,10,0,0,0,0,1,2,3,2,9,15
"86",1,0.42,1,1,1,0,8,1,1,0,1,0,1,3,1,5,1,1,0,3,3,5,0,5,3,2,2,1,2,2,1,30,10,10,20,10,0,20,15,20,15,5,5,1,0,1,2,1,9,16
"87",1,0.21,1,4,0,0,0,0,1,1,1,1,1,4,1,8,1,1,2,2,0,4,4,6,3,1,2,2,6,1,2,15,5,5,20,5,0,5,0,10,0,0,5,0,1,1,4,3,9,17
"88",0,0.1,1,1,1,0,7,7,1,0,2,0,1,1,2,4,1,2,4,2,2,8,2,1,7,1,6,3,6,2,1,13.33,1.11,8.89,18.89,1.11,12.22,20,10,10,5,15,0,1,2,1,4,2,9,18
"89",1,-0.35,1,2,1,0,0,0,1,1,3,0,1,6,7,9,2,1,2,4,5,1,0,7,9,3,2,2,1,7,4,30,10,5,20,10,5,10,5,10,10,0,5,3,0,3,0,3,9,19
"90",0,-0.23,1,2,1,0,0,0,1,0,3,0,1,6,7,9,2,3,2,2,8,0,0,5,2,2,3,3,3,7,0,80,10,20,30,10,10,20,10,0,10,0,0,0,1,3,0,3,9,20
"91",0,0.3,0,1,1,0,3,1,1,1,1,3,1,1,2,7,1,1,1,2,4,3,1,3,2,1,0,0,2,6,0,20,5,5,20,10,0,20,5,5,0,20,0,2,1,2,3,4,10,11
"92",0,0.65,0,4,1,0,3,3,1,1,5,0,1,0,2,0,1,1,0,4,2,2,2,1,2,0,0,1,2,2,0,45,15,15,0,10,5,20,5,10,0,10,5,3,1,4,1,0,10,12
"93",1,-0.15,1,4,1,0,1,1,1,0,1,0,1,2,1,7,2,1,0,3,6,0,2,3,4,1,2,1,1,6,4,4,3,4,22,4,7,25,6,1,2,11,9,2,1,2,2,6,10,13
"94",0,0.17,0,3,1,0,3,3,1,0,2,0,1,1,3,1,1,3,3,3,7,1,2,2,3,3,1,0,1,6,1,15,10,0,0,5,0,25,5,5,0,0,15,3,1,3,1,0,10,14
"95",0,0.24,1,2,1,0,1,3,1,1,2,0,1,0,2,0,0,2,3,1,6,2,0,1,3,2,1,1,5,6,2,15,5,5,30,0,15,25,10,5,0,5,5,1,1,3,3,0,10,15
"96",0,0.15,0,1,1,0,5,2,1,1,1,0,1,2,7,3,0,1,1,2,4,2,0,2,1,1,0,0,1,6,0,35,15,15,30,10,5,5,5,15,15,0,0,0,2,2,2,3,10,16
"97",0,0.41,0,4,0,0,3,3,1,1,3,1,1,1,7,0,0,1,1,3,1,1,4,3,1,2,0,1,5,5,3,20,0,10,30,5,5,20,10,5,0,5,0,1,1,2,4,5,10,17
"98",0,0.07,0,1,1,0,4,4,1,1,0,0,1,4,4,4,2,2,3,3,3,5,2,4,3,2,4,2,5,6,2,18.33,3.89,3.89,28.89,1.11,17.22,35,0,5,5,20,5,0,0,2,4,0,10,18
"99",1,0.49,0,2,1,0,3,3,1,1,5,0,1,1,1,1,3,1,1,1,6,2,0,4,5,0,0,1,0,3,3,35,15,10,30,10,10,5,5,5,10,5,0,4,2,4,0,1,10,19
"100",0,0.08,0,2,1,0,3,3,1,1,5,0,1,1,1,1,3,3,3,3,9,3,0,2,2,1,1,2,2,3,1,85,15,15,40,10,5,5,0,5,10,5,5,1,1,4,0,1,10,20
"102",0,-0.3,0,9,1,0,7,9,1,1,1,1,1,5,3,4,0,0,0,3,9,2,1,4,2,1,1,3,0,1,2,18,2,10,14,16,8,5,15,10,15,5,20,0,2,1,2,5,21,41
"103",0,0.46,0,2,0,0,7,4,1,1,0,0,1,9,7,3,0,2,2,1,0,2,2,2,1,0,2,3,3,1,1,8,7,0,1,6,8,10,5,0,15,0,0,1,0,1,1,6,21,42
"104",0,0.43,1,3,1,0,7,9,1,0,1,1,1,2,1,4,0,2,2,0,4,2,2,4,3,3,2,3,3,1,2,13,17,10,6,16,18,15,10,10,5,0,10,2,1,2,4,8,21,43
"105",0,-0.4,1,3,1,0,5,7,1,1,4,3,1,1,7,2,2,3,3,8,5,4,1,9,3,4,4,7,1,6,2,13,3,5,9,1,3,15,10,5,5,0,15,2,0,0,1,1,21,44
"106",0,0.01,1,7,1,0,2,4,1,1,1,1,1,1,1,7,1,3,1,4,6,3,1,3,2,0,2,2,1,1,2,13,3,5,1,16,2,15,5,10,5,5,0,2,1,1,1,3,21,45
"107",0,0.22,1,5,1,0,6,7,1,1,1,2,1,0,1,5,1,2,2,6,2,4,0,6,0,1,1,2,3,5,2,8,17,0,6,6,13,15,5,10,10,0,10,2,1,2,2,3,21,46
"108",0,-0.06,1,9,1,0,6,8,1,1,1,3,1,4,1,8,3,2,1,1,6,1,0,6,1,1,4,1,3,1,3,8,2,5,9,11,13,10,5,10,0,10,15,3,2,0,2,7,21,47
"109",0,-0.08,1,1,1,0,1,8,1,1,2,2,1,7,7,4,2,2,3,1,4,5,3,4,6,3,2,0,1,0,1,18,3,5,9,11,18,5,0,15,10,0,20,2,0,2,1,4,21,48
"110",0,0.28,0,4,1,0,7,7,1,1,4,2,1,0,1,5,2,1,2,0,7,4,2,5,1,1,1,0,3,5,1,8,2,0,4,11,3,5,0,5,0,10,10,2,1,1,3,2,21,49
"111",0,0.27,1,6,1,0,4,6,1,0,1,2,1,0,2,7,3,0,2,2,2,7,2,4,4,3,3,2,1,0,0,23,8,0,1,6,8,25,5,5,10,5,10,3,0,1,2,2,21,50
"112",0,0.44,1,2,1,0,3,0,1,1,2,1,1,4,2,3,2,1,2,4,4,1,2,3,3,1,3,6,3,1,2,13,8,15,1,16,3,10,10,5,5,25,15,1,1,1,5,8,21,51
"113",0,0.62,1,0,1,0,2,1,1,1,3,3,1,2,3,7,1,2,1,1,2,0,4,3,0,1,1,3,1,0,0,3,2,5,14,11,3,25,0,10,5,20,10,0,1,1,1,3,21,52
"114",0,-0.08,1,7,1,0,6,8,1,1,1,2,1,2,4,7,5,4,3,6,3,1,2,5,3,2,5,1,2,1,1,28,3,0,6,11,8,5,0,10,0,5,10,3,0,1,1,2,21,53
"115",0,-0.2,1,7,1,0,7,9,1,1,2,3,1,5,6,8,3,2,3,6,0,0,0,9,4,1,5,1,4,1,2,28,2,0,4,16,18,15,15,0,5,5,10,3,0,1,1,2,21,54
"116",0,0.39,1,2,1,0,7,9,1,0,3,2,1,0,0,6,0,0,1,1,5,7,2,3,1,3,3,2,0,1,2,8,7,5,6,6,8,15,5,10,5,15,10,1,1,0,3,0,21,55
"118",0,-0.23,1,3,1,0,0,1,1,1,0,3,1,4,3,4,3,3,3,4,8,1,2,2,2,3,2,2,3,7,3,10,0,10,20,10,10,10,20,10,20,10,10,2,1,0,2,2,22,41
"119",0,0.44,1,4,1,0,0,4,1,1,1,2,0,0,1,5,3,5,5,2,1,5,1,0,3,2,5,2,6,7,2,0,5,0,5,0,10,25,0,0,20,5,10,1,1,0,1,3,22,42
"120",0,-0.04,1,3,1,0,0,1,1,1,0,1,1,7,7,4,3,1,1,1,3,1,1,2,1,5,1,2,6,7,1,5,15,10,0,10,20,30,15,10,10,5,0,4,0,1,4,5,22,43
"121",1,-0.21,1,3,1,0,2,1,1,0,3,1,1,8,1,6,1,0,0,9,4,1,0,7,1,6,1,6,2,0,3,5,5,5,15,5,5,0,5,5,10,5,5,0,1,1,1,2,22,44
"122",1,-0.02,1,1,1,0,5,4,1,1,0,1,1,8,5,1,2,0,2,5,5,0,2,1,2,2,1,1,2,5,3,5,5,5,5,10,0,30,10,10,0,0,10,0,0,0,1,0,22,45
"123",0,-0.33,1,1,1,0,1,1,1,1,0,0,1,9,5,3,2,1,1,7,1,1,1,4,4,3,2,1,6,1,3,0,15,0,0,0,15,30,10,10,15,5,0,0,0,1,2,0,22,46
"124",0,0.27,1,3,1,0,1,0,1,0,0,1,1,5,5,0,0,1,2,2,5,2,1,4,3,1,1,0,6,7,4,0,0,5,15,5,15,25,10,10,5,5,5,1,1,1,2,4,22,47
"125",0,0.73,1,5,1,0,8,0,1,0,1,0,1,2,1,4,1,1,0,0,3,2,4,2,2,1,1,1,2,6,2,10,5,5,15,5,20,20,5,15,15,5,10,0,1,1,1,1,22,48
"126",0,-0.08,1,2,1,0,0,1,1,0,3,0,1,9,5,3,1,2,1,1,6,1,1,3,3,3,2,1,6,1,2,0,0,0,10,5,5,20,5,5,5,5,0,0,2,2,3,1,22,49
"127",0,0.12,0,0,1,0,3,2,1,1,0,0,1,9,8,1,0,3,5,3,1,4,3,2,0,1,0,3,2,6,1,15,10,0,5,0,10,10,0,5,5,0,0,1,1,2,2,1,22,50
"128",0,-0.52,1,4,1,0,4,8,1,0,1,1,1,5,4,5,5,4,5,5,3,2,3,1,7,3,6,5,6,7,1,5,10,15,5,10,5,25,5,5,10,20,5,1,0,2,5,5,22,51
"129",0,0.03,1,6,1,0,9,7,1,0,2,1,1,7,3,1,2,5,4,2,1,3,5,1,4,3,4,2,4,6,1,5,0,5,20,5,5,40,5,10,10,15,0,2,0,0,1,0,22,52
"130",0,0.5,1,1,1,0,1,0,1,1,0,0,1,7,2,1,2,1,0,7,2,2,1,3,1,0,2,2,1,5,2,20,5,0,0,5,10,20,5,10,5,0,0,1,1,0,1,1,22,53
"131",0,0.33,1,1,1,0,0,1,1,1,1,1,1,4,0,0,0,1,0,7,1,3,1,7,0,3,2,2,7,5,3,20,0,0,10,10,20,30,20,0,10,0,0,1,1,0,1,1,22,54
"132",0,0.16,0,4,1,0,0,1,1,1,2,0,1,9,6,2,3,3,4,0,4,4,1,1,3,1,0,3,3,7,3,0,5,5,0,0,10,30,10,10,0,10,0,1,2,1,3,3,22,55
"134",0,0.06,0,9,1,0,8,5,1,1,5,4,1,3,3,3,4,2,1,1,3,2,4,3,4,4,5,5,5,2,2,20,0,30,20,10,0,0,25,20,10,5,10,0,1,1,1,3,23,41
"135",0,0.41,0,2,1,0,8,0,1,1,6,3,1,1,1,4,4,4,3,3,6,6,1,1,5,3,8,5,8,2,1,10,5,20,5,0,0,15,5,10,10,0,10,1,1,1,0,4,23,42
"136",1,-0.35,1,3,1,0,8,5,1,1,5,2,1,6,7,3,4,0,1,4,2,2,1,3,3,6,4,5,8,2,2,15,15,10,0,10,10,20,20,0,0,0,0,2,0,0,3,6,23,43
"137",1,-0.17,1,3,0,0,6,3,1,0,2,0,1,7,1,5,2,1,2,4,1,0,2,8,3,7,2,9,4,5,2,15,5,15,15,5,5,10,0,5,0,0,5,2,1,2,2,1,23,44
"138",1,-0.1,1,7,1,0,3,0,1,1,5,2,1,7,5,0,3,1,0,0,0,1,4,2,4,3,4,4,4,0,2,15,5,15,5,10,10,20,15,0,10,5,10,2,0,1,0,1,23,45
"139",0,-0.52,1,5,1,0,7,3,1,1,5,1,1,8,5,2,3,0,1,2,4,0,3,5,6,4,5,4,8,4,2,10,15,20,0,0,5,20,15,0,5,0,0,2,0,0,1,1,23,46
"140",0,0.21,1,9,1,0,7,4,1,0,5,0,1,4,5,1,1,0,0,3,0,3,3,5,5,2,2,3,8,2,3,10,0,15,15,5,5,15,15,0,5,10,5,3,1,2,3,5,23,47
"141",0,0.58,1,1,1,0,0,4,1,0,4,1,1,1,1,3,2,0,2,5,2,1,6,3,0,0,4,2,4,1,1,20,5,15,15,5,10,10,10,5,5,0,10,2,1,0,0,2,23,48
"142",0,-0.23,0,4,1,0,8,3,1,0,2,1,1,8,5,2,2,1,1,4,1,0,1,4,5,4,5,2,8,4,1,10,0,20,10,5,5,10,10,5,5,10,0,2,2,3,4,0,23,49
"143",0,0.05,1,6,1,0,5,2,1,1,5,1,1,8,8,0,1,2,3,2,4,3,5,3,2,0,3,0,4,1,0,25,10,20,5,0,0,20,5,15,15,5,0,3,1,3,3,0,23,50
"144",0,-0.57,1,2,1,0,4,4,1,0,4,2,1,4,4,4,6,3,3,0,2,3,5,2,9,4,9,8,8,2,2,15,10,5,5,10,5,15,0,5,0,25,5,1,0,3,4,6,23,51
"145",0,-0.13,1,0,1,0,1,3,1,0,3,0,1,6,3,0,3,4,2,3,4,4,7,2,6,4,7,5,6,1,0,5,0,25,20,5,5,30,10,0,0,20,0,0,0,1,0,1,23,52
"146",0,0.49,1,7,1,0,7,4,1,1,5,1,1,6,2,0,1,2,2,2,3,3,1,4,3,1,1,1,3,0,1,30,5,20,0,5,0,10,10,0,5,5,0,3,1,1,2,0,23,53
"147",0,0.35,1,7,1,0,8,5,1,1,4,0,1,3,0,1,1,0,2,2,6,4,3,8,2,4,1,1,9,0,2,30,0,20,10,10,10,20,25,10,0,5,0,3,1,1,2,0,23,54
"148",0,0.1,1,2,1,0,8,5,1,1,3,1,1,8,6,1,4,2,2,5,1,3,1,2,5,0,3,0,5,2,2,10,5,15,0,0,0,20,15,0,10,15,0,1,2,2,4,2,23,55
"150",0,-0.07,1,3,1,0,1,2,1,0,0,1,1,5,4,4,4,1,1,5,4,2,0,5,0,3,3,3,1,6,2,20,0,10,15,20,5,5,20,15,10,10,10,2,2,0,4,3,24,41
"151",0,0.09,1,4,1,0,1,3,1,0,1,0,1,9,0,3,4,3,3,7,5,2,3,7,1,2,6,3,4,6,1,10,5,0,0,10,5,10,0,5,10,5,10,1,0,0,3,4,24,42
"152",0,-0.32,0,3,1,0,1,2,1,1,0,1,1,2,8,4,4,1,1,8,1,2,3,5,1,5,2,3,4,6,2,15,15,10,5,20,15,15,15,5,0,5,0,4,1,1,6,6,24,43
"153",0,0.54,0,3,1,0,1,0,1,1,3,3,1,1,0,2,2,2,2,0,0,4,2,0,1,6,0,7,0,1,2,15,5,5,10,5,0,15,5,0,0,5,5,0,0,1,1,1,24,44
"154",0,-0.19,0,1,1,0,4,3,1,0,0,1,1,1,6,7,3,2,0,4,1,3,0,6,0,2,2,2,0,4,2,15,5,5,0,20,5,15,10,5,10,0,10,0,1,0,3,1,24,45
"155",0,0.24,0,1,1,0,0,0,1,0,0,2,1,0,6,5,3,1,1,2,3,4,1,3,2,3,3,2,4,0,2,10,15,0,5,10,10,15,10,5,5,5,0,0,1,1,4,1,24,46
"156",0,0.04,0,3,1,0,0,1,1,1,0,3,1,4,6,8,1,1,0,7,1,1,1,3,1,1,0,1,4,6,3,10,0,5,10,15,10,10,10,5,5,5,5,1,2,1,0,5,24,47
"157",0,0.05,0,5,1,0,7,1,1,1,1,2,1,7,0,4,2,1,2,9,1,5,2,5,4,1,2,0,0,5,1,20,5,5,10,15,15,5,5,10,5,5,10,0,0,1,3,2,24,48
"158",0,-0.04,1,2,1,0,1,0,1,1,3,2,1,0,6,5,2,0,1,8,2,4,3,4,1,3,3,0,4,0,1,10,0,0,5,15,0,5,5,0,5,5,0,0,1,2,1,0,24,49
